                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38098,                 1.5428,                0.86464,                0.92093,                 0.9393,                0.98409,                0.94363,                0.29032,                0.56087,                 0.7812,             0.00036348,             0.00036348,             0.00036348
                      2,                  0.268,                  0.511,                  0.811,                0.92444,                0.95944,                0.99376,                0.98952,                 0.1938,                0.38063,                 0.7595,             0.00070959,             0.00070959,             0.00070959
                      3,                0.25653,                0.38487,                0.80563,                0.88374,                0.82495,                0.86351,                0.85905,                0.18026,                0.97998,                0.76358,              0.0010313,              0.0010313,              0.0010313
                      4,                0.25514,                0.37007,                0.80602,                0.87551,                 0.9131,                0.98551,                 0.9795,                0.19219,                0.69955,                0.76246,               0.001001,               0.001001,               0.001001
                      5,                0.23212,                0.33225,                0.80191,                0.96006,                0.98766,                0.99499,                0.99384,                0.15511,                0.24572,                0.75627,               0.001001,               0.001001,               0.001001
                      6,                0.22762,                0.29868,                0.80194,                0.99766,                0.99813,                0.99499,                0.99227,                0.17685,                0.19653,                0.75564,             0.00096435,             0.00096435,             0.00096435
                      7,                0.21126,                0.26784,                0.79857,                0.90423,                0.97635,                0.99488,                0.99379,                 0.1471,                0.26171,                0.75135,             0.00092769,             0.00092769,             0.00092769
                      8,                0.20821,                0.25998,                0.79803,                0.99979,                      1,                  0.995,                0.99476,                0.13517,                0.15384,                0.75211,             0.00089102,             0.00089102,             0.00089102
                      9,                0.19505,                0.25171,                0.79734,                 0.9955,                0.99817,                  0.995,                0.99489,                 0.1397,                0.13681,                0.75009,             0.00085436,             0.00085436,             0.00085436
                     10,                0.18907,                0.23071,                0.79479,                0.99984,                      1,                  0.995,                0.99496,                0.13269,                0.12976,                0.75055,              0.0008177,              0.0008177,              0.0008177
                     11,                0.18567,                0.22846,                0.79588,                0.99754,                0.99851,                  0.995,                 0.9947,                0.13083,                0.13066,                0.74937,             0.00078103,             0.00078103,             0.00078103
                     12,                0.18156,                0.21413,                 0.7927,                0.99886,                0.99954,                  0.995,                0.99421,                0.12282,                0.13104,                0.74866,             0.00074437,             0.00074437,             0.00074437
                     13,                0.17062,                0.19556,                0.79161,                0.99941,                0.99968,                  0.995,                0.99482,                0.11265,                0.12235,                  0.748,             0.00070771,             0.00070771,             0.00070771
                     14,                0.16937,                0.19454,                0.79286,                0.99984,                      1,                  0.995,                0.99498,                0.11408,                0.11454,                0.74769,             0.00067104,             0.00067104,             0.00067104
                     15,                0.15994,                 0.1856,                0.79276,                0.99985,                      1,                  0.995,                  0.995,                0.09651,                0.10511,                0.74642,             0.00063438,             0.00063438,             0.00063438
                     16,                 0.1625,                0.18614,                0.79165,                0.99988,                      1,                  0.995,                0.99493,                0.08913,                0.09258,                 0.7463,             0.00059772,             0.00059772,             0.00059772
                     17,                0.15634,                0.16554,                0.78995,                0.99989,                      1,                  0.995,                0.99498,                0.09813,                0.09719,                0.74639,             0.00056105,             0.00056105,             0.00056105
                     18,                0.15047,                0.16899,                0.79235,                 0.9993,                      1,                  0.995,                0.99497,                0.09686,                0.09805,                0.74591,             0.00052439,             0.00052439,             0.00052439
                     19,                0.14688,                0.16091,                 0.7903,                0.99987,                      1,                  0.995,                0.99499,                0.08628,                0.08806,                0.74582,             0.00048773,             0.00048773,             0.00048773
                     20,                0.14516,                0.16022,                  0.791,                0.99989,                      1,                  0.995,                0.99498,                0.09713,                0.09172,                0.74634,             0.00045107,             0.00045107,             0.00045107
                     21,                0.13212,                0.13011,                0.78312,                0.99859,                0.99862,                  0.995,                0.99498,                0.09053,                 0.0985,                0.74462,              0.0004144,              0.0004144,              0.0004144
