                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3863,                 1.7618,                0.86747,                0.88882,                  0.904,                0.94552,                0.91928,                0.27153,                 0.8578,                 0.7863,             0.00027252,             0.00027252,             0.00027252
                      2,                0.25906,                0.52822,                  0.811,                0.95772,                0.96772,                0.99038,                0.98584,                0.19775,                0.35409,                0.76239,              0.0005284,              0.0005284,              0.0005284
                      3,                0.24179,                0.38212,                0.80485,                0.86347,                0.90047,                0.90374,                  0.898,                0.21077,                0.95076,                0.76198,             0.00076229,             0.00076229,             0.00076229
                      4,                0.24751,                0.34856,                0.80469,                 0.9778,                0.98077,                0.99418,                0.99262,                0.18347,                0.26424,                0.75761,             0.00073404,             0.00073404,             0.00073404
                      5,                 0.2235,                0.32193,                0.80097,                0.99674,                0.99603,                0.99494,                0.99318,                0.14518,                0.19002,                0.75672,             0.00073404,             0.00073404,             0.00073404
                      6,                0.21069,                0.28606,                0.80077,                0.99696,                 0.9994,                  0.995,                0.99394,                0.14079,                0.17003,                0.75066,             0.00070105,             0.00070105,             0.00070105
                      7,                0.20214,                0.28692,                0.79824,                0.99519,                0.99686,                0.99498,                0.99434,                0.13926,                0.18037,                0.75433,             0.00066807,             0.00066807,             0.00066807
                      8,                0.20782,                0.29159,                0.79809,                0.99522,                0.99765,                  0.995,                0.99386,                0.14522,                0.16595,                0.75314,             0.00063508,             0.00063508,             0.00063508
                      9,                0.19191,                0.24826,                0.79757,                0.99742,                0.99794,                  0.995,                0.99461,                0.12945,                0.14503,                0.75046,             0.00060209,             0.00060209,             0.00060209
                     10,                0.18156,                 0.2288,                0.79475,                0.99965,                0.99979,                  0.995,                0.99473,                0.11413,                0.11854,                0.74924,             0.00056911,             0.00056911,             0.00056911
                     11,                0.18084,                0.21438,                0.79562,                0.99923,                0.99892,                  0.995,                0.99477,                0.11317,                0.12508,                 0.7484,             0.00053612,             0.00053612,             0.00053612
                     12,                0.16762,                0.18837,                0.79201,                0.99985,                      1,                  0.995,                0.99498,                0.10287,                0.10786,                0.74766,             0.00050313,             0.00050313,             0.00050313
                     13,                0.16296,                0.18741,                0.79132,                0.99985,                      1,                  0.995,                0.99496,                0.10538,                0.10403,                0.74806,             0.00047015,             0.00047015,             0.00047015
                     14,                0.16009,                0.17536,                0.79273,                0.99984,                      1,                  0.995,                0.99492,                0.09311,                0.09651,                 0.7476,             0.00043716,             0.00043716,             0.00043716
                     15,                0.15275,                0.17491,                0.79257,                0.99802,                0.99949,                  0.995,                0.99498,                0.09717,                0.10358,                0.74776,             0.00040417,             0.00040417,             0.00040417
                     16,                0.13525,                0.14845,                0.78663,                 0.9966,                0.99719,                  0.995,                0.99497,                0.11354,                0.13951,                0.74671,             0.00037118,             0.00037118,             0.00037118
                     17,                0.13626,                0.15033,                0.78487,                0.99914,                0.99847,                  0.995,                0.99482,                0.10639,                0.11361,                0.74634,              0.0003382,              0.0003382,              0.0003382
                     18,                0.12813,                0.13589,                0.78503,                0.99977,                0.99999,                  0.995,                  0.995,                0.09432,                0.09599,                0.74526,             0.00030521,             0.00030521,             0.00030521
                     19,                 0.1252,                0.12688,                0.78706,                0.99987,                      1,                  0.995,                0.99496,                0.10053,                0.09968,                0.74545,             0.00027222,             0.00027222,             0.00027222
                     20,                0.11725,                0.12654,                0.78562,                0.99983,                      1,                  0.995,                0.99494,                0.08285,                0.08473,                 0.7456,             0.00023924,             0.00023924,             0.00023924
                     21,                0.11489,                0.11627,                0.78361,                0.99981,                      1,                  0.995,                  0.995,                0.08546,                0.08363,                0.74553,             0.00020625,             0.00020625,             0.00020625
                     22,                0.11078,                0.10831,                 0.7854,                0.99975,                      1,                  0.995,                  0.995,                0.08276,                 0.0798,                0.74534,             0.00017326,             0.00017326,             0.00017326
                     23,                0.10515,                0.09815,                0.78213,                0.99988,                      1,                  0.995,                  0.995,                0.07609,                0.07438,                0.74456,             0.00014028,             0.00014028,             0.00014028
                     24,                0.10206,                0.09641,                0.78343,                0.99987,                      1,                  0.995,                  0.995,                0.07301,                0.07022,                0.74445,             0.00010729,             0.00010729,             0.00010729
                     25,                0.10051,                0.09313,                0.78302,                0.99988,                      1,                  0.995,                  0.995,                0.07086,                0.06754,                0.74454,             7.4304e-05,             7.4304e-05,             7.4304e-05
