                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36684,                 1.4144,                0.85216,                 0.7604,                0.84908,                0.83404,                0.82171,                0.24132,                 1.1566,                0.78396,             0.00036598,             0.00036598,             0.00036598
                      2,                0.26641,                0.51581,                0.80935,                0.96281,                 0.8952,                0.97925,                0.97561,                0.17833,                0.46823,                0.75875,             0.00068771,             0.00068771,             0.00068771
                      3,                0.25561,                 0.4265,                0.80489,                0.90209,                0.95508,                0.99468,                0.99137,                0.19465,                0.52778,                0.75548,             0.00096057,             0.00096057,             0.00096057
                      4,                0.25009,                0.36802,                0.80369,                 0.9856,                0.97989,                0.99459,                0.99156,                0.16532,                0.20693,                0.75171,             0.00089102,             0.00089102,             0.00089102
                      5,                0.23077,                0.33819,                0.80289,                0.95257,                 0.9618,                0.98715,                0.98646,                0.15093,                0.27266,                0.75095,             0.00089102,             0.00089102,             0.00089102
                      6,                0.19797,                0.26674,                0.79669,                0.98808,                0.98396,                0.99496,                0.99439,                0.15935,                0.19593,                0.75115,              0.0008177,              0.0008177,              0.0008177
                      7,                0.19559,                0.23424,                 0.7951,                0.99962,                0.99991,                  0.995,                0.99443,                0.15817,                  0.142,                0.74955,             0.00074437,             0.00074437,             0.00074437
                      8,                0.17286,                0.20474,                0.79154,                0.96761,                0.92077,                0.98204,                0.98154,                0.14426,                0.31901,                0.75017,             0.00067104,             0.00067104,             0.00067104
                      9,                0.16725,                0.22677,                0.79284,                0.96456,                0.89402,                0.98345,                0.98339,                0.11547,                0.40087,                0.74696,             0.00059772,             0.00059772,             0.00059772
                     10,                0.15475,                0.18785,                0.79347,                0.98672,                0.98013,                0.99485,                0.99463,                0.10575,                0.18095,                0.74515,             0.00052439,             0.00052439,             0.00052439
                     11,                0.14897,                0.15651,                0.78972,                0.99901,                0.99667,                  0.995,                0.99496,                0.09624,                0.09919,                0.74308,             0.00045107,             0.00045107,             0.00045107
                     12,                0.13951,                0.15066,                0.78783,                0.99632,                0.99928,                  0.995,                  0.995,                 0.0968,                0.10056,                0.74399,             0.00037774,             0.00037774,             0.00037774
                     13,                0.13083,                0.13616,                0.78893,                0.99647,                0.96455,                0.99336,                0.99336,                0.08919,                0.26859,                0.74465,             0.00030441,             0.00030441,             0.00030441
                     14,                0.12498,                0.12544,                0.78598,                 0.9986,                 0.9784,                0.99441,                0.99441,                0.08695,                0.18666,                  0.744,             0.00023109,             0.00023109,             0.00023109
                     15,                0.11674,                  0.118,                0.78558,                0.99844,                0.99884,                  0.995,                  0.995,                0.07947,                0.09761,                0.74258,             0.00015776,             0.00015776,             0.00015776
