                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43472,                  1.989,                0.88479,                0.69218,                0.91525,                0.72469,                0.67676,                0.38901,                 1.8795,                0.79897,             0.00028886,             0.00028886,             0.00028886
                      2,                0.25969,                0.64954,                0.81637,                0.94838,                0.95103,                0.98651,                0.96822,                0.21173,                0.49181,                0.76523,             0.00054399,             0.00054399,             0.00054399
                      3,                0.25356,                 0.4381,                0.80894,                0.87625,                0.87822,                 0.9415,                0.93203,                0.20841,                0.87991,                0.76122,             0.00075343,             0.00075343,             0.00075343
                      4,                 0.2205,                0.32401,                0.79859,                0.65537,                 0.5779,                0.67405,                0.64166,                0.32422,                  1.342,                0.80498,             0.00085718,             0.00085718,             0.00085718
                      5,                 0.2106,                0.30544,                0.79928,                0.71964,                0.70266,                0.75081,                0.72227,                0.34105,                 1.2669,                0.82992,             0.00085718,             0.00085718,             0.00085718
                      6,                0.18597,                0.26429,                0.79534,                0.86629,                  0.863,                0.86351,                0.85873,                0.19483,                0.97799,                0.76348,             0.00077257,             0.00077257,             0.00077257
                      7,                 0.1764,                0.22972,                0.79481,                0.73908,                0.80199,                0.78262,                0.78127,                0.15501,                 1.1569,                0.75393,             0.00068797,             0.00068797,             0.00068797
                      8,                0.16665,                0.21297,                0.79082,                0.80341,                0.81441,                0.95628,                0.95323,                0.13773,                 1.1252,                0.74995,             0.00060336,             0.00060336,             0.00060336
                      9,                0.16006,                0.18786,                0.79048,                0.96122,                0.96133,                  0.995,                0.99479,                0.12444,                0.23096,                0.74815,             0.00051875,             0.00051875,             0.00051875
                     10,                0.14342,                0.15457,                0.78987,                0.99835,                0.99728,                  0.995,                0.99467,                0.11486,                0.11814,                0.74733,             0.00043414,             0.00043414,             0.00043414
                     11,                0.13386,                0.16429,                0.78643,                 0.9968,                0.99706,                  0.995,                0.99481,                0.09553,                0.11316,                0.74702,             0.00034954,             0.00034954,             0.00034954
                     12,                0.13076,                0.14097,                0.78927,                0.99986,                      1,                  0.995,                0.99499,                0.09285,                0.09591,                0.74704,             0.00026493,             0.00026493,             0.00026493
                     13,                 0.1187,                0.11888,                0.78334,                0.99794,                 0.9982,                0.99497,                0.99496,                0.10441,                0.10271,                0.74766,             0.00018032,             0.00018032,             0.00018032
